Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
01/02/2026;;00000000005445;SALSICHA PERDIGAO KG;6,478;97,10;14,99;56,55;6,80;7,19;40,55;27,36;71,70;0,36;36,51;;;
01/02/2026;;00000000005447;SALSICHA WILSON KG;2,542;33,02;12,99;17,77;2,31;2,44;15,25;31,79;85,83;0,14;36,64;;;
01/02/2026;;00000000005451;BATATA LAVADA KG;81,675;227,88;2,79;163,35;0,00;0,00;64,53;28,32;39,50;0,57;37,22;;;
01/02/2026;;00000000005452;CEBOLA  ARGENTINA KG;28,485;70,96;2,49;47,00;0,00;0,00;23,96;33,77;50,98;0,21;37,43;;;
01/02/2026;;00000000005453;LIMAO KG;14,645;42,32;2,89;27,83;0,00;0,00;14,49;34,25;52,09;0,13;37,56;;;
01/02/2026;;00000000005454;ALHO KG;6,905;116,64;16,89;75,95;0,00;0,00;40,68;34,88;53,56;0,36;37,92;;;
01/02/2026;;00000000005455;TOMATE KG;26,880;268,65;9,99;161,28;0,00;0,00;107,37;39,97;66,57;0,96;38,88;;;
01/02/2026;;00000000005456;PIMENTAO VERDE KG;4,460;35,22;7,90;20,07;0,00;0,00;15,15;43,02;75,49;0,13;39,01;;;
01/02/2026;;00000000005473;MORTADELA PERDIGAO 400G;2,000;15,98;7,99;9,84;1,12;1,18;6,14;24,01;62,40;0,05;39,07;;;
01/02/2026;;00000000005477;GELATINA ROYAL CEREJA 25G;1,000;2,49;2,49;1,54;0,50;0,18;0,95;10,75;61,69;0,01;39,08;;;
